日期Date,指数代码Index Code,指数中文全称Index Chinese Name(Full),指数中文简称Index Chinese Name,指数英文全称Index English Name(Full),指数英文简称Index English Name,开盘Open,最高High,最低Low,收盘Close,涨跌Change,涨跌幅(%)Change(%),成交量（万手）Volume(M Shares),成交金额（亿元）Turnover,样本数量ConsNumber
20200520,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,128.40,0.00,0.00,175.08,171.59,
20200521,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,128.37,-0.03,-0.02,157.91,158.61,
20200522,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,128.51,0.14,0.11,108.08,108.81,
20200525,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,128.47,-0.04,-0.03,161.06,161.42,
20200526,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,128.29,-0.18,-0.14,152.58,152.45,
20200527,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,128.03,-0.26,-0.20,163.04,162.58,
20200528,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.98,-0.05,-0.04,171.75,169.95,
20200529,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.95,-0.03,-0.02,70.74,71.46,
20200601,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.99,0.04,0.03,213.07,214.61,
20200602,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.71,-0.29,-0.22,135.48,136.33,
20200603,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.38,-0.33,-0.26,217.84,218.16,
20200604,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.21,-0.17,-0.13,243.37,244.15,
20200605,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.96,-0.25,-0.19,149.66,150.48,
20200608,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.93,-0.03,-0.02,233.27,233.71,
20200609,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.97,0.04,0.03,209.53,209.82,
20200610,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.96,-0.01,-0.01,226.65,226.48,
20200611,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.06,0.09,0.07,226.24,226.59,
20200612,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.16,0.10,0.08,121.56,120.61,
20200615,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.27,0.11,0.09,164.59,161.57,
20200616,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.03,-0.24,-0.19,121.22,120.63,
20200617,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.89,-0.13,-0.10,162.67,161.74,
20200618,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.87,-0.02,-0.02,225.01,226.51,
20200619,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.87,0.00,0.00,94.78,94.43,
20200622,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.83,-0.04,-0.03,180.41,178.12,
20200623,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.69,-0.15,-0.11,188.79,188.82,
20200624,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.77,0.08,0.06,113.21,112.16,
20200629,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.95,0.18,0.14,6518.59,6555.77,
20200630,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.00,0.05,0.04,122.61,121.72,
20200701,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.03,0.04,0.03,7900.98,7956.75,
20200702,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.10,0.07,0.06,204.43,203.59,
20200703,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,127.03,-0.07,-0.06,144.98,143.87,
20200706,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.77,-0.26,-0.20,245.53,243.83,
20200707,932029,中证AAA综合债指数,AAA综合债,CSI AAA Universal Bond Index,AAA Universal,,,,126.49,-0.28,-0.22,210.51,210.10,
